Ticker,Companies,CEO Pay,,,,,,,,,,,,,,,,
CF,CF Industries Holdings,11685670,,,,,,,,,,,,,,,,
CFG,Citizens Financial Group,12430076,,,,,,,,,,,,,,,,
CHD,Church & Dwight Co,8889526,,,,,,,,,,,,,,,,
CHRW,C H Robinson Worldwide,10233276,,,,,,,,,,,,,,,,
CHTR,Charter Communications,41860263,,,,,,,,,,,,,,,,
CI,Cigna,19872266,,,,,,,,,,,,,,,,
CINF,Cincinnati Financial,6490767,,,,,,,,,,,,,,,,
CL,Colgate-Palmolive Company,15458151,,,,,,,,,,,,,,,,
CLX,The Clorox Company,7899309,,,,,,,,,,,,,,,,
CMA,Comerica orporated,7696094,,,,,,,,,,,,,,,,
CMCSA,Comcast,33978581,,,,,,,,,,,,,,,,
CME,CME Group,22924737,,,,,,,,,,,,,,,,
CMG,Chipotle Mexican Grill,17880580,,,,,,,,,,,,,,,,
CMI,Cummins,15645919,,,,,,,,,,,,,,,,
CMS,CMS Energy,6871068,,,,,,,,,,,,,,,,
CNC,Centene,20637990,,,,,,,,,,,,,,,,
CNP,CenterPoint Energy,37809810,,,,,,,,,,,,,,,,
COF,Capital One Financial,20457553,,,,,,,,,,,,,,,,
COO,The Cooper Companies,10994906,,,,,,,,,,,,,,,,
COP,ConocoPhillips,23886640,,,,,,,,,,,,,,,,
COST,Costco Wholesale,8752252,,,,,,,,,,,,,,,,
CPB,Campbell Soup Company,9903652,,,,,,,,,,,,,,,,
CPRT,Copart,490647,,,,,,,,,,,,,,,,
CPT,Camden Property Trust,4285423,,,,,,,,,,,,,,,,
CRL,Charles River Laboratories International,13705581,,,,,,,,,,,,,,,,
CRM,Salesforce,28602112,,,,,,,,,,,,,,,,
CSCO,Cisco Systems,25446695,,,,,,,,,,,,,,,,
CSX,CSX,20006806,,,,,,,,,,,,,,,,
CTAS,Cintas,9035393,,,,,,,,,,,,,,,,
CTLT,Catalent,12581139,,,,,,,,,,,,,,,,
CTRA,Coterra Energy,11061939,,,,,,,,,,,,,,,,
CTSH,Cognizant Technology Solutions,19687285,,,,,,,,,,,,,,,,
CTVA,Corteva,792786,,,,,,,,,,,,,,,,
CVS,CVS Health,20388412,,,,,,,,,,,,,,,,
CVX,Chevron,22610285,,,,,,,,,,,,,,,,
CZR,Caesars Entertainment,22576517,,,,,,,,,,,,,,,,
D,Dominion Energy,8161083,,,,,,,,,,,,,,,,
DAL,Delta Air Lines,12360420,,,,,,,,,,,,,,,,
DD,DuPont de Nemours,15106986,,,,,,,,,,,,,,,,
DE,Deere & Company,19912826,,,,,,,,,,,,,,,,
DFS,Discover Financial Services,12087218,,,,,,,,,,,,,,,,
DG,Dollar General,16618873,,,,,,,,,,,,,,,,
DGX,Quest Diagnostics orporated,14557818,,,,,,,,,,,,,,,,
DHI,D R Horton,30571596,,,,,,,,,,,,,,,,
DHR,Danaher,17152267,,,,,,,,,,,,,,,,
DIS,The Walt Disney Company,32464293,,,,,,,,,,,,,,,,
DISH,DISH Network,2895882,,,,,,,,,,,,,,,,
