Ticker,Companies,CEO Pay,,,,,,,,,,,,,,,,
TSN,Tyson Foods,8999444,,,,,,,,,,,,,,,,
TT,Trane Technologies,12888518,,,,,,,,,,,,,,,,
TTWO,Take-Two Interactive Software,138347,,,,,,,,,,,,,,,,
TXN,Texas Instruments orporated,19195411,,,,,,,,,,,,,,,,
TXT,Textron,18576014,,,,,,,,,,,,,,,,
TYL,Tyler Technologies,5590005,,,,,,,,,,,,,,,,
UAL,United Airlines Holdings,9845064,,,,,,,,,,,,,,,,
UDR,UDR,14228333,,,,,,,,,,,,,,,,
UHS,Universal Health Services,14020942,,,,,,,,,,,,,,,,
ULTA,Ulta Beauty,8539767,,,,,,,,,,,,,,,,
UNH,UnitedHealth Group orporated,18433143,,,,,,,,,,,,,,,,
UNP,Union Pacific,14523819,,,,,,,,,,,,,,,,
UPS,United Parcel Service,27620893,,,,,,,,,,,,,,,,
URI,United Rentals,12716100,,,,,,,,,,,,,,,,
USB,U S Bancorp,19166276,,,,,,,,,,,,,,,,
V,Visa,30944838,,,,,,,,,,,,,,,,
VFC,VF,15423154,,,,,,,,,,,,,,,,
VICI,VICI Properties,7662894,,,,,,,,,,,,,,,,
VLO,Valero Energy,22684706,,,,,,,,,,,,,,,,
VMC,Vulcan Materials Company,10774795,,,,,,,,,,,,,,,,
VRSK,Verisk Analytics,12796321,,,,,,,,,,,,,,,,
VRSN,VeriSign,10118313,,,,,,,,,,,,,,,,
VRTX,Vertex Pharmaceuticals orporated,15198856,,,,,,,,,,,,,,,,
VTR,Ventas,14263728,,,,,,,,,,,,,,,,
VTRS,Viatris,5472905,,,,,,,,,,,,,,,,
VZ,Verizon Communications,20342871,,,,,,,,,,,,,,,,
WAT,Waters,8653559,,,,,,,,,,,,,,,,
WBA,Walgreens Boots Alliance,28333498,,,,,,,,,,,,,,,,
WDC,Western Digital,17093364,,,,,,,,,,,,,,,,
WEC,WEC Energy Group,18481871,,,,,,,,,,,,,,,,
WELL,Welltower,12753710,,,,,,,,,,,,,,,,
WFC,Wells Fargo & Company,21350906,,,,,,,,,,,,,,,,
WHR,Weyerhaeuser Company,12715531,,,,,,,,,,,,,,,,
WM,Waste Management,13057363,,,,,,,,,,,,,,,,
WMB,The Williams Companies,13759533,,,,,,,,,,,,,,,,
WMB,Whirlpool,18751901,,,,,,,,,,,,,,,,
WMT,Walmart,25670673,,,,,,,,,,,,,,,,
WRB,W R Berkley,14147305,,,,,,,,,,,,,,,,
WRK,Westinghouse Air Brake Technologies,11027238,,,,,,,,,,,,,,,,
WST,West Pharmaceutical Services,9472757,,,,,,,,,,,,,,,,
WTW,Willis Towers Watson Public Limited Company,20337292,,,,,,,,,,,,,,,,
WY,WestRock Company,21189086,,,,,,,,,,,,,,,,
WYNN,Wynn Resorts Limited,12928747,,,,,,,,,,,,,,,,
XEL,Xcel Energy,8350364,,,,,,,,,,,,,,,,
XOM,Exxon Mobil,23572488,,,,,,,,,,,,,,,,
XRAY,DENTSPLY SIRONA,9251884,,,,,,,,,,,,,,,,
XYL,Xylem,10441670,,,,,,,,,,,,,,,,
YUM,Yum! Brands,27578659,,,,,,,,,,,,,,,,
ZBH,Zimmer Biomet Holdings,14981058,,,,,,,,,,,,,,,,
ZBRA,Zebra Technologies,13589616,,,,,,,,,,,,,,,,
ZION,Zions Bancorporation National Association,4656113,,,,,,,,,,,,,,,,
ZTS,Zoetis,13098491,,,,,,,,,,,,,,,,
